"","word","absolute.freqency","relative.frequency"
"cdph","cdph",38,0.00278103044496487
"certifi","certifi",38,0.00278103044496487
"consid","consid",38,0.00278103044496487
"contain","contain",38,0.00278103044496487
"cough","cough",38,0.00278103044496487
"extra","extra",38,0.00278103044496487
"featur","featur",38,0.00278103044496487
"henrystarkhdp","henrystarkhdp",38,0.00278103044496487
"hire","hire",38,0.00278103044496487
"left","left",38,0.00278103044496487
"librari","librari",38,0.00278103044496487
"listen","listen",38,0.00278103044496487
"media","media",38,0.00278103044496487
"room","room",38,0.00278103044496487
"thought","thought",38,0.00278103044496487
"turn","turn",38,0.00278103044496487
"yet","yet",38,0.00278103044496487
"court","court",37,0.00270784543325527
"diet","diet",37,0.00270784543325527
"face","face",37,0.00270784543325527
"forward","forward",37,0.00270784543325527
"grill","grill",37,0.00270784543325527
"limit","limit",37,0.00270784543325527
"medicin","medicin",37,0.00270784543325527
"neighbor","neighbor",37,0.00270784543325527
"prep","prep",37,0.00270784543325527
"privat","privat",37,0.00270784543325527
"reopen","reopen",37,0.00270784543325527
"small","small",37,0.00270784543325527
"suicid","suicid",37,0.00270784543325527
"theme","theme",37,0.00270784543325527
"compani","compani",36,0.00263466042154567
"dchd","dchd",36,0.00263466042154567
"employ","employ",36,0.00263466042154567
"excit","excit",36,0.00263466042154567
"held","held",36,0.00263466042154567
"lchd","lchd",36,0.00263466042154567
"licens","licens",36,0.00263466042154567
"overdos","overdos",36,0.00263466042154567
"pack","pack",36,0.00263466042154567
